source,target
adriana-gutierrez-jaramillo,congress-colombia
adriana-gutierrez-jaramillo,congress-colombia
adriana-gutierrez-jaramillo,supreme-court-col
adriana-gutierrez-jaramillo,partido-social-de-unidad-nacional
juan-manuel-santos,adriana-gutierrez-jaramillo
juan-manuel-santos,oscar-ivan-zuluaga
juan-manuel-santos,oscar-ivan-zuluaga
juan-manuel-santos,partido-social-de-unidad-nacional
oscar-ivan-zuluaga,adriana-gutierrez-jaramillo
oscar-ivan-zuluaga,congress-colombia
oscar-ivan-zuluaga,partido-social-de-unidad-nacional
