"id","type","gender","x","y","imageUrl","kind","color","size"
"Abello Vives Camilo José","circle","M",-2599.9524,360.8989,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Acevedo Zuluaga Jorge Ignacio","circle","M",-3144.589,1888.659,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Acosta Correa David Felipe","circle","M",-416.4403,-1004.8718,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Agudelo Arango Ever","circle","M",-2600.6313,2230.4233,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Agudelo Gómez Rafael Leon de la Cruz","circle","M",-2345.0842,3394.4602,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Aguirre Martínez Andrés","circle","M",2685.4355,1334.79,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Alajmo Carrizosa Pietro","circle","M",1764.9099,-1187.8704,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Alarcón Mantilla Luis Fernando","circle","M",-111.3793,777.54425,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Alarcon Philippe","circle","M",1538.4412,-290.6642,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Alarcón Villar José Manuel","circle","M",-508.85236,-2731.7317,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Albornoz Rugeles Monica","circle","F",1888.8641,3320.8135,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/female1.1.png","persona","#B25FD6",2
"Alfonso Vargas Edgar Augusto","circle","M",3606.4702,2672.0596,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Alkosto","circle","",2782.554,506.3499,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/desk.png","empresa","#3CB1F9",5
"Alloway Mark","circle","M",4208.6816,-1123.3782,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Alpina","circle","",112.41578,3937.9587,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/desk.png","empresa","#3CB1F9",5
"Álvarez Álvarez Julio","circle","M",1979.0996,-918.9823,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Álvarez Posada Jorge","circle","M",3665.3118,246.46243,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Álvarez-Calderón Meléndez Guillermo","circle","M",-1825.773,-2995.618,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Álvarez-Pallete López José María","circle","M",2169.2239,-3638.9194,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
"Amador Andrade Mauricio","circle","M",2221.2024,1388.4286,"https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male1.1.png","persona","#B25FD6",2
