"name","type","gender","x","y","id","kind","imageUrl","color","size"
"Acevedo Zuluaga Jorge Ignacio","circle","M",673.82544,1202.1979,"Acevedo Zuluaga Jorge Ignacio","persona","https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male2.jpg","#00FFFF",1
"Agudelo Arango Ever","circle","M",802.49585,1001.0501,"Agudelo Arango Ever","persona","https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male2.jpg","#00FFFF",1
"Agudelo Gómez Rafael Leon de la Cruz","circle","M",1803.5072,306.5868,"Agudelo Gómez Rafael Leon de la Cruz","persona","https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male2.jpg","#00FFFF",1
"Aguirre Martínez Andrés","circle","M",905.6846,1574.19,"Aguirre Martínez Andrés","persona","https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male2.jpg","#00FFFF",1
"Alajmo Carrizosa Pietro","circle","M",741.91895,-596.6459,"Alajmo Carrizosa Pietro","persona","https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male2.jpg","#00FFFF",1
"Alarcón Villar José Manuel","circle","M",273.73828,-802.6658,"Alarcón Villar José Manuel","persona","https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male2.jpg","#00FFFF",1
"Alkosto","circle",NA,899.67017,501.0515,"Alkosto","empresa","https://dl.dropboxusercontent.com/u/38618778/empresarios2015/desk.png","#DBF8FF",3
"Alpina","circle",NA,-1458.8322,921.8569,"Alpina","empresa","https://dl.dropboxusercontent.com/u/38618778/empresarios2015/desk.png","#DBF8FF",3
"Álvarez Álvarez Julio","circle","M",768.124,-441.43,"Álvarez Álvarez Julio","persona","https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male2.jpg","#00FFFF",1
"Álvarez-Calderón Meléndez Guillermo","circle","M",-968.93164,111.06083,"Álvarez-Calderón Meléndez Guillermo","persona","https://dl.dropboxusercontent.com/u/38618778/empresarios2015/male2.jpg","#00FFFF",1
